area,bedrooms,bathrooms,stories,parking,age,price
1450,3,4,3,0,11,8951925
2836,4,4,1,2,11,16220302
2743,4,1,1,1,6,14818928
3145,2,4,3,0,25,14995623
2357,1,4,2,2,12,13181063
2365,2,4,2,2,26,12089216
3412,3,3,1,1,7,17826527
3353,4,1,3,0,30,16159409
3728,2,4,3,0,28,19097296
4219,1,2,1,2,28,19877245
3728,2,2,2,2,21,17174833
2871,5,2,2,2,27,16373914
3391,1,2,2,0,25,15195347
4256,3,3,1,1,29,21438218
4725,4,4,2,1,8,24574395
594,2,1,1,0,6,3672542
3174,1,4,1,3,30,15149336
2455,5,3,3,1,25,13702105
1293,1,2,2,2,20,7990698
2334,5,3,1,3,23,13289818
2616,3,4,2,3,14,14640852
4606,4,1,2,1,1,23540505
3825,3,3,3,3,22,19208832
3419,2,1,2,3,30,16824060
3097,1,3,3,1,19,14585960
3705,5,1,1,1,24,18075496
1314,5,1,2,3,11,9416330
845,1,2,1,2,0,5583676
2849,1,1,2,0,22,13185108
862,2,2,1,3,21,5880582
2943,3,4,2,3,7,17150401
2765,5,4,2,2,4,16801238
2688,2,2,2,3,14,15010671
3505,3,2,2,3,0,18548332
3781,2,3,2,0,0,19414345
1484,5,3,2,0,24,9142780
2139,1,3,2,0,30,9924289
1327,1,4,2,1,9,7471895
3230,3,3,2,1,21,15668175
4031,4,1,1,0,9,20253101
4951,3,1,3,0,20,23312763
3435,4,3,2,1,14,19171404
4376,2,1,3,2,16,21135729
626,2,4,2,3,21,4876255
3677,5,1,2,3,5,20458670
3556,4,4,1,0,2,19543096
1103,5,2,1,2,12,7775741
3949,1,2,3,1,15,18705134
4646,4,2,1,0,7,25100851
4033,3,2,1,2,29,19394393
3867,1,1,3,2,14,19083715
3868,1,3,1,2,16,18124527
4297,3,1,2,1,16,20547507
2292,1,4,3,1,21,12995173
3361,4,1,3,3,25,17887965
3976,5,1,2,3,12,21100811
3917,1,4,1,2,16,19015715
2145,4,2,3,2,5,12870482
1705,2,2,3,1,16,8984445
3530,4,2,2,3,15,18021575
3372,5,3,2,2,13,19080922
3572,4,4,1,3,12,19673416
2354,3,4,3,3,5,14726039
4521,5,1,1,2,2,23276051
3208,2,3,1,1,13,16228819
4002,3,2,2,2,13,19987978
1832,4,3,3,2,14,11070346
701,5,4,3,3,7,8543031
4007,2,4,3,2,28,19962254
4712,3,1,2,1,14,23067727
1074,2,1,2,2,21,6205877
1036,4,4,2,1,28,7069020
2125,2,2,2,1,26,10532816
2622,1,2,2,3,12,12785687
885,3,3,3,0,16,5804442
3781,2,4,1,0,30,17440593
974,4,4,3,3,20,8075729
917,4,2,1,2,23,6006945
4100,2,2,2,3,2,20531984
1454,4,4,1,1,27,8978049
1705,5,1,3,0,5,11019228
4620,5,4,3,3,4,25162517
2490,5,4,1,2,21,14296086
4072,1,2,2,3,25,19412571
4880,2,2,2,0,16,22750822
4658,1,1,3,3,22,22124113
3213,4,1,1,3,24,16229012
2703,1,3,2,0,1,13608900
3620,4,4,2,1,25,18904898
1466,4,2,3,1,14,9439824
3932,3,1,2,0,4,19360999
1188,5,3,1,3,25,7787358
4743,4,3,3,0,19,23394290
4201,3,2,3,1,5,21385001
841,5,2,1,2,5,7063459
2224,4,3,3,3,26,12445739
4922,4,1,2,1,17,23301556
2292,1,3,2,3,17,11574706
2259,1,4,1,0,3,11891854
3712,5,4,2,2,16,20742419
1489,4,2,1,0,24,8427882
2762,2,1,1,2,13,13992111
2982,1,1,2,3,13,14174491
1451,5,4,1,3,12,10380275
1222,4,3,2,0,6,7307477
3889,4,2,3,2,11,20719960
2579,2,3,3,2,22,13760949
3217,5,3,1,3,14,17620687
2832,4,3,2,0,18,15251715
3876,1,1,2,2,30,16694538
2000,2,4,3,3,10,11639467
785,5,1,3,1,14,6675225
3995,2,4,2,0,11,20428127
2565,1,2,1,1,2,12806573
1268,5,2,3,0,16,8931681
3557,2,3,1,3,2,18705649
4789,3,4,1,2,18,23668390
2661,1,4,3,2,19,13798086
3793,1,4,1,2,3,19135791
1446,1,3,1,0,2,7555112
3835,3,3,2,3,25,19950843
4650,3,2,1,1,15,22295988
1981,4,1,2,3,11,11083320
2401,2,4,3,1,7,12884826
3951,4,4,3,0,23,19146516
4564,2,1,2,0,28,21098748
554,3,4,3,1,28,5029804
2323,3,3,1,1,16,13000019
3962,4,3,1,1,6,20704480
3579,5,4,1,3,10,19834504
1332,4,3,3,1,17,8585138
4908,2,3,1,0,0,24077721
3306,4,4,3,0,2,19276895
2990,1,2,1,2,3,15036742
827,2,1,2,1,12,5180535
3810,2,3,3,3,5,19888997
3800,5,2,3,3,25,20625424
4175,3,3,1,3,13,20310131
3554,2,3,3,2,4,18222738
2643,3,1,3,0,15,13708355
1811,4,3,2,3,14,12144805
3691,1,1,2,0,14,17026950
3038,5,1,1,2,29,14864815
4483,3,1,2,1,3,22888831
664,2,2,1,1,7,4794849
4777,3,4,1,1,26,23891607
1322,2,2,1,3,15,6868824
1443,3,4,3,1,27,9294334
4925,2,4,2,3,15,23903271
1274,4,1,1,2,29,6753914
2698,2,3,2,2,3,14992391
3656,2,1,1,3,12,17925007
4742,1,3,2,0,25,22494296
4195,2,4,2,1,27,19459170
3952,1,1,1,1,12,18424504
1414,5,3,3,1,1,11137821
1808,1,2,2,3,30,8705647
4677,4,3,3,2,2,24325330
1013,1,1,3,1,21,5637254
2420,5,2,1,2,7,13740845
4094,4,3,1,1,23,20025838
1909,3,3,1,1,14,10175432
3690,3,3,2,3,10,19395657
4991,1,3,1,0,30,22651030
2055,1,3,1,3,8,10462950
1304,5,2,2,1,6,8636177
1779,5,4,2,1,12,11328259
4077,2,2,1,0,1,19664006
3401,5,2,1,2,7,18497879
1887,2,2,1,2,6,10552111
3261,4,4,1,1,23,17151437
3179,1,1,3,2,11,15723166
2606,4,4,3,1,18,15702496
4723,5,2,1,0,6,24335342
3268,4,3,3,0,9,18202982
